
> @barra-vips/operator-web@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.90:3000
- Environments: .env.local
✓ Ready in 1237ms

 GET / 307 in 1653ms (next.js: 501ms, proxy.ts: 533ms, application-code: 620ms)
 GET / 307 in 210ms (next.js: 13ms, proxy.ts: 45ms, application-code: 152ms)
 GET /dashboard 200 in 385ms (next.js: 96ms, proxy.ts: 14ms, application-code: 275ms)
 GET / 307 in 342ms (next.js: 18ms, proxy.ts: 29ms, application-code: 296ms)
 GET /dashboard 200 in 155ms (next.js: 16ms, proxy.ts: 15ms, application-code: 124ms)
 GET /api/operator/conversations?page_size=100 200 in 2.2s (next.js: 358ms, proxy.ts: 77ms, application-code: 1815ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 2.3s (next.js: 345ms, proxy.ts: 99ms, application-code: 1811ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 2.3s (next.js: 313ms, proxy.ts: 101ms, application-code: 1842ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 2.3s (next.js: 298ms, proxy.ts: 72ms, application-code: 1908ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.9s (next.js: 256ms, proxy.ts: 66ms, application-code: 2.6s)
 GET /api/operator/models/active 200 in 1610ms (next.js: 219ms, proxy.ts: 32ms, application-code: 1359ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1620ms (next.js: 77ms, proxy.ts: 32ms, application-code: 1511ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 4.0s (next.js: 199ms, proxy.ts: 70ms, application-code: 3.8s)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A07%3A31.406Z&to=2026-05-06T22%3A07%3A31.406Z&page_size=100 200 in 1720ms (next.js: 168ms, proxy.ts: 26ms, application-code: 1526ms)
 GET /api/operator/media?page_size=100 200 in 1944ms (next.js: 292ms, proxy.ts: 29ms, application-code: 1624ms)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 57ms, proxy.ts: 13ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1634ms (next.js: 75ms, proxy.ts: 47ms, application-code: 1512ms)
 GET /api/operator/conversations?page_size=100 200 in 1660ms (next.js: 58ms, proxy.ts: 44ms, application-code: 1557ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1671ms (next.js: 67ms, proxy.ts: 46ms, application-code: 1558ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1718ms (next.js: 54ms, proxy.ts: 46ms, application-code: 1618ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 46ms, proxy.ts: 50ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1388ms (next.js: 15ms, proxy.ts: 20ms, application-code: 1353ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A07%3A46.421Z&to=2026-05-06T22%3A07%3A46.421Z&page_size=100 200 in 1540ms (next.js: 22ms, proxy.ts: 16ms, application-code: 1502ms)
 GET /api/operator/media?page_size=100 200 in 1565ms (next.js: 19ms, proxy.ts: 38ms, application-code: 1508ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1562ms (next.js: 18ms, proxy.ts: 24ms, application-code: 1519ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 38ms, proxy.ts: 48ms, application-code: 3.4s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 6ms, proxy.ts: 8ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1657ms (next.js: 90ms, proxy.ts: 49ms, application-code: 1517ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1687ms (next.js: 60ms, proxy.ts: 49ms, application-code: 1578ms)
 GET /api/operator/conversations?page_size=100 200 in 1706ms (next.js: 83ms, proxy.ts: 47ms, application-code: 1576ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1707ms (next.js: 95ms, proxy.ts: 51ms, application-code: 1560ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 71ms, proxy.ts: 51ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1428ms (next.js: 24ms, proxy.ts: 49ms, application-code: 1355ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A08%3A01.691Z&to=2026-05-06T22%3A08%3A01.691Z&page_size=100 200 in 1604ms (next.js: 33ms, proxy.ts: 49ms, application-code: 1522ms)
 GET /api/operator/media?page_size=100 200 in 1617ms (next.js: 39ms, proxy.ts: 62ms, application-code: 1516ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1579ms (next.js: 19ms, proxy.ts: 48ms, application-code: 1512ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 47ms, proxy.ts: 48ms, application-code: 3.3s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 6ms, proxy.ts: 18ms, application-code: 2.3s)
 GET /api/operator/conversations?page_size=100 200 in 1637ms (next.js: 54ms, proxy.ts: 33ms, application-code: 1550ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1634ms (next.js: 62ms, proxy.ts: 37ms, application-code: 1535ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1656ms (next.js: 44ms, proxy.ts: 37ms, application-code: 1575ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1650ms (next.js: 59ms, proxy.ts: 33ms, application-code: 1558ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 37ms, proxy.ts: 37ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1412ms (next.js: 36ms, proxy.ts: 21ms, application-code: 1356ms)
 GET /api/operator/media?page_size=100 200 in 1534ms (next.js: 23ms, proxy.ts: 20ms, application-code: 1491ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A08%3A16.693Z&to=2026-05-06T22%3A08%3A16.693Z&page_size=100 200 in 1544ms (next.js: 18ms, proxy.ts: 18ms, application-code: 1507ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1577ms (next.js: 28ms, proxy.ts: 21ms, application-code: 1528ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 36ms, proxy.ts: 35ms, application-code: 3.3s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 4ms, proxy.ts: 9ms, application-code: 2.3s)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1677ms (next.js: 89ms, proxy.ts: 47ms, application-code: 1541ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1691ms (next.js: 79ms, proxy.ts: 48ms, application-code: 1564ms)
 GET /api/operator/conversations?page_size=100 200 in 1703ms (next.js: 72ms, proxy.ts: 45ms, application-code: 1587ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1729ms (next.js: 55ms, proxy.ts: 46ms, application-code: 1628ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.5s (next.js: 64ms, proxy.ts: 49ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1570ms (next.js: 66ms, proxy.ts: 61ms, application-code: 1443ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1725ms (next.js: 64ms, proxy.ts: 53ms, application-code: 1608ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 49ms, proxy.ts: 42ms, application-code: 3.4s)
 GET /api/operator/media?page_size=100 200 in 1765ms (next.js: 55ms, proxy.ts: 51ms, application-code: 1660ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A08%3A31.686Z&to=2026-05-06T22%3A08%3A31.686Z&page_size=100 200 in 1783ms (next.js: 59ms, proxy.ts: 31ms, application-code: 1694ms)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 20ms, proxy.ts: 43ms, application-code: 2.3s)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1694ms (next.js: 74ms, proxy.ts: 55ms, application-code: 1565ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1681ms (next.js: 101ms, proxy.ts: 60ms, application-code: 1519ms)
 GET /api/operator/conversations?page_size=100 200 in 1705ms (next.js: 83ms, proxy.ts: 56ms, application-code: 1566ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1700ms (next.js: 95ms, proxy.ts: 54ms, application-code: 1550ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 62ms, proxy.ts: 53ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1422ms (next.js: 35ms, proxy.ts: 23ms, application-code: 1364ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1570ms (next.js: 29ms, proxy.ts: 21ms, application-code: 1520ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A08%3A46.420Z&to=2026-05-06T22%3A08%3A46.420Z&page_size=100 200 in 1600ms (next.js: 22ms, proxy.ts: 31ms, application-code: 1547ms)
 GET /api/operator/media?page_size=100 200 in 1587ms (next.js: 25ms, proxy.ts: 22ms, application-code: 1540ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 53ms, proxy.ts: 50ms, application-code: 3.4s)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 6ms, proxy.ts: 12ms, application-code: 2.2s)
 GET /api/operator/conversations?page_size=100 200 in 1635ms (next.js: 57ms, proxy.ts: 37ms, application-code: 1541ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1629ms (next.js: 59ms, proxy.ts: 39ms, application-code: 1531ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1635ms (next.js: 68ms, proxy.ts: 41ms, application-code: 1525ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1656ms (next.js: 50ms, proxy.ts: 36ms, application-code: 1571ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.4s (next.js: 43ms, proxy.ts: 36ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1503ms (next.js: 105ms, proxy.ts: 39ms, application-code: 1359ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A09%3A01.423Z&to=2026-05-06T22%3A09%3A01.423Z&page_size=100 200 in 1626ms (next.js: 74ms, proxy.ts: 36ms, application-code: 1516ms)
 GET /api/operator/media?page_size=100 200 in 1637ms (next.js: 92ms, proxy.ts: 35ms, application-code: 1510ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 38ms, proxy.ts: 34ms, application-code: 3.3s)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1669ms (next.js: 95ms, proxy.ts: 40ms, application-code: 1534ms)
 GET /api/operator/status/agent?window=24h 200 in 2.3s (next.js: 7ms, proxy.ts: 15ms, application-code: 2.2s)
 GET /api/operator/conversations?page_size=100 200 in 1603ms (next.js: 56ms, proxy.ts: 36ms, application-code: 1511ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1630ms (next.js: 40ms, proxy.ts: 36ms, application-code: 1554ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1720ms (next.js: 62ms, proxy.ts: 34ms, application-code: 1624ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1719ms (next.js: 65ms, proxy.ts: 35ms, application-code: 1620ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.3s (next.js: 47ms, proxy.ts: 35ms, application-code: 2.3s)
 GET /api/operator/models/active 200 in 1406ms (next.js: 31ms, proxy.ts: 23ms, application-code: 1352ms)
 GET /api/operator/media?page_size=100 200 in 1533ms (next.js: 17ms, proxy.ts: 32ms, application-code: 1484ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A09%3A16.688Z&to=2026-05-06T22%3A09%3A16.688Z&page_size=100 200 in 1689ms (next.js: 128ms, proxy.ts: 10ms, application-code: 1551ms)
 GET /api/operator/receipts?needs_review=true&page_size=10 200 in 1563ms (next.js: 26ms, proxy.ts: 22ms, application-code: 1515ms)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.4s (next.js: 34ms, proxy.ts: 37ms, application-code: 3.3s)
 GET /api/operator/status/agent?window=24h 200 in 2.2s (next.js: 5ms, proxy.ts: 10ms, application-code: 2.2s)
 GET /api/operator/conversations?page_size=100 200 in 1810ms (next.js: 117ms, proxy.ts: 59ms, application-code: 1634ms)
 GET /api/operator/conversations?handoff_status=OPENED&page_size=10 200 in 1834ms (next.js: 119ms, proxy.ts: 69ms, application-code: 1647ms)
 GET /api/operator/conversations?handoff_status=ACKNOWLEDGED&page_size=10 200 in 1863ms (next.js: 151ms, proxy.ts: 70ms, application-code: 1643ms)
 GET /api/operator/dashboard/queues?page_size=10 200 in 1908ms (next.js: 103ms, proxy.ts: 59ms, application-code: 1747ms)
 GET /api/operator/handoffs/summary?window=7d 200 in 2.6s (next.js: 84ms, proxy.ts: 59ms, application-code: 2.4s)
 GET /api/operator/dashboard/summary?window=24h 200 in 3.5s (next.js: 67ms, proxy.ts: 55ms, application-code: 3.4s)
 GET /api/operator/models/active 200 in 1673ms (next.js: 142ms, proxy.ts: 80ms, application-code: 1451ms)
 GET /api/operator/schedule/slots?from=2026-04-22T22%3A09%3A31.420Z&to=2026-05-06T22%3A09%3A31.420Z&page_size=100 200 in 1791ms (next.js: 86ms, proxy.ts: 63ms, application-code: 1642ms)
 GET /api/operator/media?page_size=100 200 in 1819ms (next.js: 130ms, proxy.ts: 67ms, application-code: 1622ms)
